csv_row,title,address,google_maps_url,csv_memo,published_slug,published_name,published_match_score,published_address,published_intro,published_hours,published_closed_days,published_parking,published_dog_area,published_dog_menu,published_rules,published_memo,researched_name,researched_address,researched_hours,researched_closed_days,researched_parking,researched_dog_area,researched_dog_menu,researched_rules,researched_intro,researched_memo,official_site_url,instagram_url,other_source_urls,source_notes,comparison_notes,status
28,KIZUNADINING&WANTOK CAFE 府中くるる店,〒183-0023 東京都府中市宮町１丁目５０ くるる 1階,https://www.google.com/maps/place/KIZUNADINING%26WANTOK+CAFE+%E5%BA%9C%E4%B8%AD%E3%81%8F%E3%82%8B%E3%82%8B%E5%BA%97/data=!4m2!3m1!1s0x6018e500168ae347:0xabd17cc109578a14,外席ワンコ🆗です,fuchu-08,KIZUNA DINING & WANTOK CAFE 府中くるる店,1.000,東京都府中市宮町1-50 くるる 1F,"府中駅直結の商業施設内にあるダイニングカフェ。
お買い物の合間のランチや休憩にぴったりです。",11:00〜22:00,施設に準ずる（不定休）,あり（施設駐車場）,外席のみ,なし,,,KIZUNA DINING ＆ WANTOK CAFE 府中くるる店,〒183-0023 東京都府中市宮町1-50 くるる1F,カフェ10:00～16:00／平日ランチ11:00～14:00／休日ランチ10:00～16:00／ディナー16:00～23:00（フードL.O.22:00・ドリンクL.O.22:30）（kizunadining.jp）,月曜（祝日の場合は翌日）（kizunadining.jp）,くるる駐車場の利用可否は施設に準拠（要確認）,ユーザーメモ:外席ワンコOK。ブランド公式にペット可の明記は未確認,なし,不明,"府中駅直結の商業施設内にあるダイニングカフェ。
お買い物の合間のランチや休憩にぴったりです。",,https://kizunadining.jp/shop/fuchukururu.html,https://www.instagram.com/kizunadining/,https://www.kururu.co.jp/shop/1f-13/,くるる公式の営業時間表記（平日7:00～等）とブランド公式が不一致のため要確認,,researched
29,CAFE WHANAU,〒183-0045 東京都府中市美好町１丁目18−３ 1F,https://www.google.com/maps/place/CAFE+WHANAU/data=!4m2!3m1!1s0x6018e5c99be1a319:0xb389d78cfc17b9af,テラス席ワンコ🆗です,,,,,,,,,,,,,CAFE WHANAU（CAFE WHĀNAU）,〒183-0045 東京都府中市美好町1-18-3 1F,7:00～17:00（地域情報サイト・ブログ系）,月曜・第2・第4火曜（同上）,不明,ユーザーメモ:テラス席ワンコOK。ブランド公式掲載は取得できず,なし,不明,,,https://www.allpressespresso.com/find/cafe-whanau/,https://www.instagram.com/cafe_whanau/,https://mikke-fuchu.com/whanau/,Allpressページはタイムアウトのため他媒体依存,,researched
30,珈琲鳴館 府中宮町店,〒183-0023 東京都府中市宮町１丁目２５−５,https://www.google.com/maps/place/%E7%8F%88%E7%90%B2%E9%B3%B4%E9%A4%A8+%E5%BA%9C%E4%B8%AD%E5%AE%AE%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x6018e4e48693e5fb:0x385467498597b762,暖かい季節のみテラス席ありワンコ🆗、雨除け日除けなし。,fuchu-09,珈琲鳴館 府中宮町店,1.000,東京都府中市宮町2-17-9,"コーヒーの香りにこだわる、落ち着いた雰囲気の珈琲専門店。
本格的なコーヒーを堪能できます。",10:00〜19:00,月曜日,なし（近隣コインパーキング利用）,テラス席のみ（暖かい季節限定）,なし,,暖かい季節のみテラス席が出ます。雨除け・日除けはないため晴れた日がおすすめです。,珈琲鳴館 府中宮町店,〒183-0023 東京都府中市宮町1-25-5 杉村ビル1F,10:00～19:00（珈琲鳴館公式）,月曜（珈琲鳴館公式）,店舗前1台あり（珈琲鳴館公式）,ユーザーメモ:暖かい季節のみテラス席。公式にペット同伴の記載なし,なし,不明,"コーヒーの香りにこだわる、落ち着いた雰囲気の珈琲専門店。
本格的なコーヒーを堪能できます。",暖かい季節のみテラス席が出ます。雨除け・日除けはないため晴れた日がおすすめです。,https://coffeemeikan.jp/shop/fuchu_miyamachi/,,https://r.gnavi.co.jp/ht5pvaxa0000/,テラス有無・ペットは要店舗確認,,researched
31,鈴木屋商店,〒183-0027 東京都府中市本町１丁目２−３ ソネット府中,https://www.google.com/maps/place/%E9%88%B4%E6%9C%A8%E5%B1%8B%E5%95%86%E5%BA%97/data=!4m2!3m1!1s0x6018e4e57e5ba5f5:0x30cceb30dc826435,ワンコのフードやオヤツ売ってます,,,,,,,,,,,,,鈴木屋商店,〒183-0027 東京都府中市本町1-2-3 ソネット府中（地番は各種ビジネスDBと一致）,掲載見つからず（要電話確認）,不明,不明,飲食店ではなく米穀店。同伴エリアの概念は非該当,なし,不明,,,,,https://el.e-shops.jp/local/nsh/7267618795,犬用商品取扱はユーザーメモのみで公式・掲載で未確認。042-361-2172,,researched
32,モンマスティー 東府中店,〒183-0015 東京都府中市清水が丘１丁目４−５０,https://www.google.com/maps/place/%E3%83%A2%E3%83%B3%E3%83%9E%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC+%E6%9D%B1%E5%BA%9C%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x6018e50e1ca9d665:0x10f6ddb655a9791e,外席ベンチがあります,fuchu-10,モンマスティー 東府中店,1.000,東京都府中市緑町3-18-2,"美味しい紅茶やタピオカドリンクが人気のテイクアウト店。
お散歩中にちょこっと立ち寄るのに便利です。",11:00〜20:00,水曜日,なし,外席（ベンチ）,なし,,,モンマスティー 東府中店（Monmouth Tea）,〒183-0015 東京都府中市清水が丘1-4-50,水・木・金・土・日 10:00〜19:00,月曜・火曜,なし（食べログ掲載）,ユーザーmemo:外席ベンチあり。ペット可否は公式未確認,なし,未掲載,"美味しい紅茶やタピオカドリンクが人気のテイクアウト店。
お散歩中にちょこっと立ち寄るのに便利です。",,http://www.monmouth.jp/,https://www.instagram.com/monmouth_tea.higashifuchu/,https://tabelog.com/tokyo/A1326/A132602/13261008/|https://x.com/monmouth_fuchu,ブランド公式は本店中心。東府中店は店舗Instagram/X・食べログ（店舗公認）で要確認,,researched
33,紅葉,〒183-0003 東京都府中市朝日町２丁目２２−７,https://www.google.com/maps/place/%E7%B4%85%E8%91%89/data=!4m2!3m1!1s0x6018e5682d47aebd:0x52c80d67612b0ec2,西武多摩川線・多磨駅ロータリー傍のたこ焼き屋、イートイン用のベンチスぺースあり。,,,,,,,,,,,,,京風たこ焼き紅葉,〒183-0003 東京都府中市朝日町2-22-7,11:00〜20:30（Uber Eats掲載）,火曜日（Uber Eats掲載）,不明,ユーザーmemo:イートイン用ベンチ。ペット可否は公式未確認,なし,未掲載,,,,,https://tabelog.com/tokyo/A1326/A132602/13129182/|https://www.ubereats.com/jp-en/store/京風たこ焼き-紅葉-kyouhutakoyaki-momiji/po2yaI-8WrixNu7cyqhV4A,独立公式サイトなし。食べログは店舗運営公開。時間は配達枠・要電話確認,,researched
34,（有）越中屋酒店,〒183-0045 東京都府中市美好町２丁目４４−３ みなみ接骨院,https://www.google.com/maps/place/%EF%BC%88%E6%9C%89%EF%BC%89%E8%B6%8A%E4%B8%AD%E5%B1%8B%E9%85%92%E5%BA%97/data=!4m2!3m1!1s0x6018e46077498fe9:0xbbe2c7ce28cd3d14,喫煙席を兼ねた店頭ベンチ席ワンコ🆗、日除け・雨除け・風除けいずれもなし。角打ちに近い形態。つまみは店内の市販商品を購入。,,,,,,,,,,,,,越中屋酒店,〒183-0045 東京都府中市美好町2-44-3,11:00〜23:00（府中タウン新聞・2015年8月取材時点）,日曜に不定休（同記事）,なし（同記事）,ユーザーmemo:店頭ベンチ席ワンコOK。公式未確認,なし,店内飲食は酒屋スタイル。ペット条件は要確認,,,,,http://fuchutown.com/?p=3826|https://hitosara.com/0031424339/,店の独自公式HPは未確認。記事は古いため現状は要電話確認,,researched
35,茶房山もも,〒183-0004 東京都府中市紅葉丘２丁目２９−６ 丸忠山田ビル,https://www.google.com/maps/place/%E8%8C%B6%E6%88%BF%E5%B1%B1%E3%82%82%E3%82%82/data=!4m2!3m1!1s0x6018e5699b3d8737:0x63ef06d9082f4e3e,テラス席ワンコ🆗、ガーデン風で雰囲気良し。,,,,,,,,,,,,,茶房山もも,〒183-0004 東京都府中市紅葉丘2-29-6 丸忠山田ビル,夏季9:00〜18:30・冬季9:00〜17:00（ヒトサラ等）／ホットペッパーは9:00〜18:30のみ,不明（ホットペッパーは未記載）,有（ホットペッパー掲載）,ユーザーmemo:テラス席ワンコOK。公式未確認,なし,未掲載,,,,,https://www.hotpepper.jp/strJ000749950/|https://hitosara.com/0031110589/|https://fjl3.sokowonantoka.com/coffee/,最後のURLは店の非公式紹介ページ。時間は季節・掲載で差あり,,researched
36,サロン・ド・カモシタ,〒183-0032 東京都府中市本宿町２丁目１２−１１,https://www.google.com/maps/place/%E3%82%B5%E3%83%AD%E3%83%B3%E3%83%BB%E3%83%89%E3%83%BB%E3%82%AB%E3%83%A2%E3%82%B7%E3%82%BF/data=!4m2!3m1!1s0x6018e489e8c50eed:0xebf917bf8f93f5eb,"店内ワンコ🆗。
他の利用客から利用同意が得られるのが条件。",,,,,,,,,,,,,サロン・ド・カモシタ,〒183-0032 東京都府中市本宿町2-12-11,月・火・水・金・土・日 11:30〜15:00／18:00〜23:00,木曜日,不明,ユーザーmemo:店内ワンコOKは他客の同意が条件,なし,要確認,,,,https://www.facebook.com/Salonkamoshita/,https://www.ekiten.jp/shop_74966665/|http://fuchutown.com/?p=3853,エキテンがFacebookを公式としてリンク,,researched
37,ロイヤルホスト府中東店,〒183-0006 東京都府中市緑町１丁目14−１,https://www.google.com/maps/place/%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%9B%E3%82%B9%E3%83%88%E5%BA%9C%E4%B8%AD%E6%9D%B1%E5%BA%97/data=!4m2!3m1!1s0x6018e4e32fa74039:0xd2ec64efe50896de,テラス席ワンコ🆗、日除けあり。,fuchu-11,ロイヤルホスト 府中東店,1.000,東京都府中市八幡町2-25-1,"安心・定番のファミリーレストラン。
美味しい洋食メニューを外の空気を感じながら楽しめます。",08:00〜23:00,無休,あり,テラス席のみ,なし,,テラス席には日除けがあります。,ロイヤルホスト府中東店,〒183-0006 東京都府中市緑町1-14-1,月〜日 8:00〜23:00（L.O.閉店60分前）,年中無休表記（変更の可能性あり・公式注記）,77台・店舗利用2時間無料（公式）,ユーザーmemo:テラス席ワンコOK。公式店舗ページにペット記載なし,なし,盲導犬等は公式FAQで可。一般ペットは店舗要確認,"安心・定番のファミリーレストラン。
美味しい洋食メニューを外の空気を感じながら楽しめます。",テラス席には日除けがあります。,https://locations.royalhost.jp/detail/111104/,,https://www.royalhost.jp/infomation/faq/,営業・駐車は公式確度高。ペット同伴は第三者情報のため低,,researched
38,cafe bond,〒183-0014 東京都府中市是政５丁目２−８,https://www.google.com/maps/place/cafe+bond/data=!4m2!3m1!1s0x6018e5da931121a7:0xe8b90fd03c58b920,テラス席ワンコ🆗、店頭の１卓のみ、屋根あり。,,,,,,,,,,,,,cafe bond,〒183-0014 東京都府中市是政5-2-8,10:00〜17:30（複数地域メディア。公式サイトは情報薄）,水・日・祝（地域メディア）,不明,ユーザーmemo:店頭テラス1卓・屋根ありワンコOK。公式未確認,なし,未掲載,,,https://bond528.jp/,https://www.instagram.com/bond.koremasa528/,https://imatama.jp/contents/tokuhain/fuchu/cafebond/|https://san-tatsu.jp/spots/91424/,記事により営業時間表記差あり,,researched
39,MR.coffeestand/hamburger,〒183-0031 東京都府中市西府町１丁目46−５,https://www.google.com/maps/place/MR.coffeestand%2Fhamburger/data=!4m2!3m1!1s0x60189349b17c894b:0x8faa5e157b24f4b8,美容室の敷地内の常設キッチンカー、美容室内にカフェスペースがあり混雑していなければ、ワンコ🆗でイートイン利用可,,,,,,,,,,,,,MR.（キッチンカー。ヒトサラ掲載名）,〒183-0031 東京都府中市西府町1-46-5,火〜土 10:00〜16:00,月・日（イベント出張で臨時休業あり）,不明,ユーザーmemo:美容室内カフェスペースは混雑時要確認。公式未確認,なし,ヒトサラに臨時休業注記,,,,https://www.instagram.com/mr.coffeestand/,https://hitosara.com/0031673016/|https://sanshouzi.net/2023/07/11/,表記はMR.coffeestand/hamburgerとMR.の併用,,researched
40,リブラ カフェ ルイ,〒183-0026 東京都府中市南町６丁目２６−８,https://www.google.com/maps/place/%E3%83%AA%E3%83%96%E3%83%A9+%E3%82%AB%E3%83%95%E3%82%A7+%E3%83%AB%E3%82%A4/data=!4m2!3m1!1s0x6018e4c3a3f627ef:0xef6ab229fddfd740,店内ワンコ🆗,,,,,,,,,,,,,リブラ カフェ レイ（同一住所の掲載。ルイは表記揺れの可能性）,〒183-0026 東京都府中市南町6-26-8,不明（ぐるなび等に時間未掲載）,不明,不明,ユーザーmemo:店内ワンコOK。公式未確認,なし,要電話確認,,,,,https://r.gnavi.co.jp/nh50jhbc0000/,公式サイト・SNS未確認。基本情報のみ掲載,,researched
41,シェ アンディ ラボ,〒183-0055 東京都府中市府中町２丁目２０−１３,https://www.google.com/maps/place/%E3%82%B7%E3%82%A7+%E3%82%A2%E3%83%B3%E3%83%87%E3%82%A3+%E3%83%A9%E3%83%9C/data=!4m2!3m1!1s0x6018e4fc79c004ab:0x994f75742a420025,かき氷が有名。ドリンクなども頂ける。店頭ベンチのみワンコ🆗。テイクアウト＆ベンチ用のかき氷メニューあり。,,,,,,,,,,,,,シェ アンディ ラボ（chez andy labo）,〒183-0055 東京都府中市府中町2-20-13 遠藤ビル1F,平日13:00〜18:00・土日祝11:00〜18:00,不定休あり（食べログ注記）,なし（食べログ）,ユーザーmemo:店頭ベンチのみワンコOK。公式未確認,なし,店内5席・予約可などは食べログ掲載,,,,https://www.instagram.com/chez.andy.labo,https://tabelog.com/tokyo/A1326/A132602/13110037/|https://www.facebook.com/profile.php?id=100057105504502,かき氷期は別スケジュールの可能性,,researched
42,モスバーガー 東府中店,〒183-0006 東京都府中市緑町３丁目８−７ シャトー寿 １Ｆ,https://www.google.com/maps/place/%E3%83%A2%E3%82%B9%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC+%E6%9D%B1%E5%BA%9C%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x6018e5191cb132a3:0xb824ccc460e1073b,テラス席ワンコ🆗、屋根あり,fuchu-12,モスバーガー 東府中店,1.000,東京都府中市緑町3-8-7,"東府中駅近くにある便利なモスバーガー。
お散歩帰りの軽食に立ち寄りやすい店舗です。",09:00～21:00,無休,なし（近隣コインパーキング利用）,テラス席のみ,なし,,テラス席は屋根付きです。,モスバーガー 東府中店,〒183-0006 東京都府中市緑町3丁目8-7 シャトー寿1F,ネット注文のお渡し可能時間 月～祝 09:30～20:00（公式 netorder.mos.co.jp）。店内の営業時間は同ページに記載なし,店舗ページに定休の明記なし（要確認）,要確認（公式店舗個別ページは未参照）,テラス席（ユーザーメモ：ワンちゃんOK・屋根あり。ペット可はモス公式で一律明記されにくい）,なし,テラス・ペット同伴の可否・条件は店舗確認推奨,"東府中駅近くにある便利なモスバーガー。
お散歩帰りの軽食に立ち寄りやすい店舗です。",テラス席は屋根付きです。,https://www.mos.jp,,https://netorder.mos.co.jp/pc/event_shop_detail/04135|https://r.gnavi.co.jp/hp2bsed80000/,住所・電話・お渡し時間はモス公式ネット注文。店内営業時間はぐるなび等第三者,,researched
43,蕎藤,〒183-0006 東京都府中市緑町１丁目１８−２,https://www.google.com/maps/place/%E8%95%8E%E8%97%A4/data=!4m2!3m1!1s0x6018e51ed292b181:0x438df91b581595d7,テラス席ワンコ🆗、仕切りや屋根があるため、日除け・雨除け・風除けいずれもある程度は問題なし。,,,,,,,,,,,,,蕎藤（手打ちそば）,〒183-0006 東京都府中市緑町1丁目18-2,11:30～14:30、17:00～21:00（売切終了あり）／ラストオーダー14:00・20:00,水曜、第3火曜,3台可,屋外テラス席（公式にペット同伴可・格子で囲い日当たり良しと記載）,なし,店内全席禁煙,,,http://www.soba-kyoudou.com/index.html,,,,,researched
44,ワインテラスユーメ府中市イタリアン,〒183-0023 東京都府中市宮町２丁目４−２1階,https://www.google.com/maps/place/%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%86%E3%83%A9%E3%82%B9%E3%83%A6%E3%83%BC%E3%83%A1%E5%BA%9C%E4%B8%AD%E5%B8%82%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E3%83%B3/data=!4m2!3m1!1s0x6018e4e4591185fd:0xc2828165a32e1742,テラス席ワンコ🆗、日除け・雨除けあり。風除けなし。,fuchu-13,ワインテラス ユーメ（Wine Terrace Yu-me）,manual,東京都府中市宮町2-4-2,"創作イタリアンとワインが楽しめるおしゃれなお店。
ちょっと特別感のあるランチやディナーを過ごせます。",11:30〜14:30 / 17:30〜22:00,月曜日,なし（近隣コインパーキング利用）,テラス席のみ,なし,,テラス席は日除け・雨除けがありますが、風除けはありません。,Wine Terrace Yu-me,〒183-0023 東京都府中市宮町2丁目4-2 1F,ランチ11:30～15:30（L.O.14:30）／ディナー17:00～23:00（L.O.21:30）※同一公式内に11:30～15:00・17:30～22:00等の併記あり,月曜定休＋不定休あり,専用駐車場の明記は公式に乏しくコインパーキング近接（アクセス文脈）,外テラス（公式Contactにペット連れ可の記載）,なし,ディナーは小学生以上／ランチは未就学児可（公式）,,,https://wineterraceyume.com/,https://www.instagram.com/wineterraceyume,https://wineterraceyume.com/contact,公式サイト・Contact。営業時間表記がページ内で一部不一致,,researched
45,428cafe+,〒183-0035 東京都府中市四谷２丁目41−３,https://www.google.com/maps/place/428cafe%2B/data=!4m2!3m1!1s0x6018e5cdc169736f:0xe253346ff4538dab,テラス席ワンコ🆗です、日よけのパラソルのみ,,,,,,,,,,,,,428cafe+,〒183-0035 東京都府中市四谷2丁目41-3,カフェ11:00～18:00（ランチ15:00まで）／ディナー完全予約18:00・19:00～,月曜（月曜が祝日の場合は翌日休み）,提携・近隣駐車4台等（敷地内に駐車場なしと公式記載）,テラス席（ユーザーメモ：ワンちゃんOK・日よけはパラソルのみ。公式TOPで犬の明記は未取得）,なし,公式にリフォーム等の休業告知あり（来店前に要確認）,,,https://btf-428cafe.com/,https://www.instagram.com/btf.428cafe,https://btf-428cafe.com/contact,公式。犬エリアはユーザーメモ依存,,researched
46,cafe dining giraffe カフェダイニング ジラフ,〒183-0005 東京都府中市若松町１丁目1−４ ライトルヴェ 1F,https://www.google.com/maps/place/cafe+dining+giraffe+%E3%82%AB%E3%83%95%E3%82%A7%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0+%E3%82%B8%E3%83%A9%E3%83%95/data=!4m2!3m1!1s0x6018e50e6c504c39:0x260295837b4d6ba9,テラス席ワンコ🆗です、日除け雨除けあり,,,,,,,,,,,,,cafe dining giraffe,〒183-0005 東京都府中市若松町1丁目1-4 ライトルヴェ 1F,月～金18:00～翌3:00（21:00～バー）／土日祝11:00～翌3:00（21:00～バー）,火曜、第1・第3月曜、その他不定休,無,テラス・屋外席あり（GORP）。犬可はユーザーメモのみでGORPにペット欄なし,なし,店内全面禁煙・店外に喫煙スペース（GORP）,,,https://gj1g200.gorp.jp/,,,モスバーガー系チェーンではなく店舗公式連携GORP。ペットは要確認,,researched
47,お食事処ちゃちゃ,〒183-0055 東京都府中市府中町２丁目1−８ ロイヤルパレス 1F,https://www.google.com/maps/place/%E3%81%8A%E9%A3%9F%E4%BA%8B%E5%87%A6%E3%81%A1%E3%82%83%E3%81%A1%E3%82%83/data=!4m2!3m1!1s0x6018e59df54753f3:0xf05ca06ba6c335d6,店頭テラス席ワンコ🆗、日除け・雨除け・風除けいずれもなし。冬はヒーターが出る。定食がとてもおいしい。,,,,,,,,,,,,,府中の町居酒屋 お食事処ちゃちゃ 府中店,〒183-0055 東京都府中市府中町2丁目1-8 ロイヤルパレス 1F,月～金昼11:30～15:00／月～日・祝前・祝夜17:00～24:00（L.O.等はGORP表記）,不定休日あり,無（目の前コインパーキング）,テラス・屋外席（GORPにペット同伴OK）,なし,加熱式たばこ店内可・紙たばこはテラス等（GORP）。コース名にテラスこたつ等の記載あり,,,https://ggz3700.gorp.jp/,,,GORP。冬ヒーター等はユーザーメモ未検証,,researched
48,タリーズコーヒー MINANO分倍河原店,〒183-0021 東京都府中市片町３丁目２２−２６,https://www.google.com/maps/place/%E3%82%BF%E3%83%AA%E3%83%BC%E3%82%BA%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC+MINANO%E5%88%86%E5%80%8D%E6%B2%B3%E5%8E%9F%E5%BA%97/data=!4m2!3m1!1s0x6018e4ed8210dfc5:0x149acd358d4c38a7,外席ワンコ🆗、商業施設1Fで屋根あり,,,,,,,,,,,,,タリーズコーヒー MINANO分倍河原店,〒183-0021 東京都府中市片町3丁目22-26,月～金8:00～20:00／土日9:00～20:00,店舗ページに定休の個別記載なし（要確認）,要確認（商業施設1F）,外席（ユーザーメモ：ワンちゃんOK・屋根あり。公式にペット明記なし）,なし,加熱式たばこ専用室あり・キッズスペース等（公式）,,,https://www.tullys.co.jp,,https://shop.tullys.co.jp/detail/4570495,タリーズ公式店舗ページ,,researched
49,府中餃子バルあわ屋,〒183-0022 東京都府中市宮西町２丁目９−８ 草舎 2 1F,https://www.google.com/maps/place/%E5%BA%9C%E4%B8%AD%E9%A4%83%E5%AD%90%E3%83%90%E3%83%AB%E3%81%82%E3%82%8F%E5%B1%8B/data=!4m2!3m1!1s0x6018e4faab110001:0xf865bf89fb10264f,テラス席ワンコ🆗、屋根あり、風除けあり、スポットクーラーあり、業務用のスポットヒーターあり(真冬でもとても暖かい),fuchu-14,府中餃子バルあわ屋,1.000,東京都府中市宮西町2-3-1,"美味しい餃子と一緒にお酒が楽しめる餃子バル。
1年中快適に過ごせる設備が整っています。",平日 17:00〜24:00 / 土日祝 15:00〜24:00,不定休,なし（近隣コインパーキング利用）,テラス・屋外席,なし,,テラス席は屋根・風除けがあり、スポットクーラーや業務用のヒーターまで完備されています。真冬でも暖かく過ごせます。,府中 餃子バル あわ屋,〒183-0022 東京都府中市宮西町2丁目9-8 草舎2 1F,月～金17:00～23:30（L.O.23:00）／土日祝14:00～23:30（L.O.23:00）,不定休日あり,無（目の前コインパーキング）,テラス（GORP：ペット同伴OK。テラス喫煙可の記載）,なし,店内禁煙・テラス喫煙可（GORP）,"美味しい餃子と一緒にお酒が楽しめる餃子バル。
1年中快適に過ごせる設備が整っています。",テラス席は屋根・風除けがあり、スポットクーラーや業務用のヒーターまで完備されています。真冬でも暖かく過ごせます。,https://a450208.gorp.jp/,,,GORP。風除け・スポットクーラー等はユーザーメモ,,researched
50,ワインショップイルサヴィーノ,〒183-0022 東京都府中市宮西町４丁目4−３,https://www.google.com/maps/place/%E3%83%AF%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E3%82%A4%E3%83%AB%E3%82%B5%E3%83%B4%E3%82%A3%E3%83%BC%E3%83%8E/data=!4m2!3m1!1s0x6018e59d3898ad27:0xc34df23e7f2ed698,テラス席ワンコ🆗です、周囲が建物に囲まれてて、日が傾く時間は日かげになる、雨除け風除けなし,,,,,,,,,,,,,wineshop.il.savino,〒183-0022 東京都府中市宮西町4丁目4-3,月～水・金・土13:00～24:00（一部ソースは23:30）／日13:00～17:00,木曜（複数第三者一致）,要確認,テラス席（ユーザーメモ：ワンちゃんOK。公式サイト未発見）,なし,要確認,,,,,https://r.gnavi.co.jp/fparr8m80000/|https://retty.me/area/PRE13/ARE25/SUB2501/100001623156/,公式URL未確認。営業終了時刻はソース間で揺れ,,researched
51,マクドナルド 四谷橋通り府中店,〒183-0036 東京都府中市日新町２丁目３３−３,https://www.google.com/maps/place/%E3%83%9E%E3%82%AF%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89+%E5%9B%9B%E8%B0%B7%E6%A9%8B%E9%80%9A%E3%82%8A%E5%BA%9C%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x6018e47f06cfab77:0x5ef06fbda6e1567,テラス席ワンコ🆗です,fuchu-15,マクドナルド 四谷橋通り府中店,1.000,東京都府中市四谷2-15-2,"サクッと立ち寄れる便利なマクドナルド。
お天気の良い日はお外でハンバーガーを楽しめます。",06:00〜23:00,無休,あり,テラス席のみ,なし,,,マクドナルド 四谷橋通り府中店,〒183-0036 東京都府中市日新町2丁目33-3,店内・ドライブスルー 平日土休日 7:00～23:00／朝マック 平日7:00～10:30（公式表・土休朝マック欄は空欄）,年中無休（特定店舗表記あり）,あり23台（公式店舗ページ）,テラス（ユーザーメモ：ワンちゃんOK。マック公式にペット一律明記なし）,なし,外席利用は店舗・安全衛生上の判断に依存し得る,"サクッと立ち寄れる便利なマクドナルド。
お天気の良い日はお外でハンバーガーを楽しめます。",,https://www.mcdonalds.co.jp,,https://map.mcdonalds.co.jp/map/13762,日本マクドナルド公式店舗マップ,,researched
52,スターバックス コーヒー 府中くるる店,〒183-0023 東京都府中市宮町１丁目50 くるる,https://www.google.com/maps/place/%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%90%E3%83%83%E3%82%AF%E3%82%B9+%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC+%E5%BA%9C%E4%B8%AD%E3%81%8F%E3%82%8B%E3%82%8B%E5%BA%97/data=!4m2!3m1!1s0x6018e4e4b9c458ef:0x593f3854649177de,テラス席ワンコ🆗、日除け・雨除け・風除けいずれもなし,fuchu-16,スターバックス コーヒー 府中くるる店,1.000,東京都府中市宮町1-50 くるる,"府中駅直結の商業施設「くるる」にあるスターバックス。
フラペチーノやコーヒーを片手にのんびりできます。",07:00〜22:30,不定休,あり（施設駐車場）,テラス席のみ,なし,,テラス席には日除け・雨除け・風除けがないため、天候の良い日がおすすめです。,スターバックス コーヒー 府中くるる店,〒183-0023 東京都府中市宮町1-50 くるる,07:00～22:30,不定休,店舗公式ページに駐車場の記載なし（近隣有料駐車場利用想定）,店舗公式にペット可否の記載なし。SB公式の一般的説明として介助犬以外の店内同伴は不可かつテラスは店舗判断が多い。テラス席あり（ユーザーmemo:テラスワンコOK）,なし,テラス利用の可否・条件は来店前に店舗へ確認推奨,"府中駅直結の商業施設「くるる」にあるスターバックス。
フラペチーノやコーヒーを片手にのんびりできます。",テラス席には日除け・雨除け・風除けがないため、天候の良い日がおすすめです。,https://store.starbucks.co.jp/detail-589/,,https://www.starbucks.co.jp/,公式店舗ページで住所・営業時間を確認。ペットは店別のため要確認,,researched
53,御休み処,〒183-0023 東京都府中市宮町３丁目１,https://www.google.com/maps/place/%E5%BE%A1%E4%BC%91%E3%81%BF%E5%87%A6/data=!4m2!3m1!1s0x6018e4e51659aaab:0x25dac05aab50e1c3,"店頭のベンチ席ワンコ🆗、神社内にあり雰囲気がある穴場。植樹が多く日除けは問題なし。
雨除け・風除けはなし。",,,,,,,,,,,,,はーもにぃ御休み処,〒183-0023 東京都府中市宮町3-1,10:00～17:00,第1・第3水曜（グルメ掲載）,不明,飲食店公式にペット記載は未確認。ユーザーmemo:店頭ベンチ席ワンコOK・神社内,なし,不明,,,,,https://www.hotpepper.jp/strJ000718721/; https://matome.miil.me/miil/venues/851653,住所一致で特定。別の『御休み処』表記の可能性は残る,,researched
54,菩提樹,〒183-0027 東京都府中市本町１丁目１６−１４,https://www.google.com/maps/place/%E8%8F%A9%E6%8F%90%E6%A8%B9/data=!4m2!3m1!1s0x6018e4e69173bdbd:0xa966ba2b297ff4ce,テラス席ワンコ🆗、日除け・雨除け・風除けいずれもなし。,,,,,,,,,,,,,菩提樹,〒183-0027 東京都府中市本町1-16-14,11:00～17:00（非公式応援サイト）／12:00～17:00火水土日等の掲載もあり,木・金（非公式）／月・木・金（他媒体）など文献不一致,不明,店舗公式のペット記載なし。非公式サイトにテラス席ありの記載。ユーザーmemo:テラスワンコOK,なし,不明,,,,,https://tzi3.shironuri.com/coffee/; https://r.gnavi.co.jp/714gzbu90000/,公式店舗HP未特定。営業日時は042-363-3780で要確認,,researched
